prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,1400,2.5,1726761798851,../sampling/generated_level/generated_level_1726761798851_0.txt,1.9415564470213384,0.58,1,1.0,85.012135,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726761798851,../sampling/generated_level/generated_level_1726761798851_1.txt,1.4967651781485802,0.45,-100,0.0,0.2,10,1.0
no pipes no enemies little blocks low elevation,1400,2.5,1726761798851,../sampling/generated_level/generated_level_1726761798851_2.txt,3.864011629520426,1.0,1,1.0,110.835775,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726761798851,../sampling/generated_level/generated_level_1726761798851_3.txt,-0.2789984267529878,0,1,1.0,91.393605,10,1.0
no pipes no enemies some blocks low elevation,1400,2.5,1726761798851,../sampling/generated_level/generated_level_1726761798851_4.txt,0.9160429755748445,0.27,1,1.0,92.96238000000001,10,1.0
no pipes no enemies some blocks high elevation,1400,2.5,1726761798851,../sampling/generated_level/generated_level_1726761798851_5.txt,1.201231192695724,0.36,-100,0.0,58.5469,10,1.0
no pipes no enemies many blocks low elevation,1400,2.5,1726761798851,../sampling/generated_level/generated_level_1726761798851_6.txt,0.2045973460227728,0.06,-100,0.0,83.94827500000001,-20,0.0
no pipes no enemies many blocks high elevation,1400,2.5,1726761798851,../sampling/generated_level/generated_level_1726761798851_7.txt,-0.07837152471594089,0,1,1.0,96.27788500000001,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726761865589,../sampling/generated_level/generated_level_1726761865589_8.txt,3.1894685810081533,1.0,1,1.0,81.74234,-20,0.0
no pipes little enemies little blocks high elevation,1400,2.5,1726761865589,../sampling/generated_level/generated_level_1726761865589_9.txt,2.883003857022312,0.86,-100,0.0,61.655010000000004,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726761865589,../sampling/generated_level/generated_level_1726761865589_10.txt,2.6315558550368428,0.79,1,1.0,71.87718499999998,-10,0.0
no pipes little enemies little blocks high elevation,1400,2.5,1726761865589,../sampling/generated_level/generated_level_1726761865589_11.txt,1.6652993406254133,0.5,-100,0.0,53.438925000000005,10,1.0
no pipes little enemies some blocks low elevation,1400,2.5,1726761865589,../sampling/generated_level/generated_level_1726761865589_12.txt,2.470762841922154,0.74,1,1.0,64.50596,-30,0.0
no pipes little enemies some blocks high elevation,1400,2.5,1726761865589,../sampling/generated_level/generated_level_1726761865589_13.txt,1.7748433321585797,0.53,1,1.0,94.146735,10,1.0
no pipes little enemies many blocks low elevation,1400,2.5,1726761865590,../sampling/generated_level/generated_level_1726761865590_14.txt,0.8883241910388173,0.27,-100,0.0,106.403495,-30,0.0
no pipes little enemies many blocks high elevation,1400,2.5,1726761865590,../sampling/generated_level/generated_level_1726761865590_15.txt,2.058421685324426,0.62,1,1.0,193.592125,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726761932581,../sampling/generated_level/generated_level_1726761932581_16.txt,3.270299284761566,1.0,-100,0.0,0.0,10,1.0
no pipes some enemies little blocks high elevation,1400,2.5,1726761932581,../sampling/generated_level/generated_level_1726761932581_17.txt,3.859209849407951,1.0,-100,0.0,125.88507,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726761932581,../sampling/generated_level/generated_level_1726761932581_18.txt,3.4300311187722574,1.0,-100,0.0,95.38006,10,1.0
no pipes some enemies little blocks high elevation,1400,2.5,1726761932581,../sampling/generated_level/generated_level_1726761932581_19.txt,2.9428076893366226,0.88,1,1.0,92.746325,10,1.0
no pipes some enemies some blocks low elevation,1400,2.5,1726761932581,../sampling/generated_level/generated_level_1726761932581_20.txt,0.34361048101386116,0.1,1,1.0,92.52762,10,1.0
no pipes some enemies some blocks high elevation,1400,2.5,1726761932581,../sampling/generated_level/generated_level_1726761932581_21.txt,3.683142185297458,1.0,-100,0.0,24.8925425,10,1.0
no pipes some enemies many blocks low elevation,1400,2.5,1726761932581,../sampling/generated_level/generated_level_1726761932581_22.txt,1.7376443852263372,0.52,1,1.0,74.62312999999999,-50,0.0
no pipes some enemies many blocks high elevation,1400,2.5,1726761932581,../sampling/generated_level/generated_level_1726761932581_23.txt,0.1968165671804567,0.06,-100,0.0,41.287521999999996,-90,0.0
no pipes many enemies little blocks low elevation,1400,2.5,1726761999618,../sampling/generated_level/generated_level_1726761999618_24.txt,4.367513312546057,1.0,1,1.0,64.199815,-10,0.0
no pipes many enemies little blocks high elevation,1400,2.5,1726761999618,../sampling/generated_level/generated_level_1726761999618_25.txt,2.3052995904216425,0.69,-100,0.0,17.059380500000003,10,1.0
no pipes many enemies little blocks low elevation,1400,2.5,1726761999618,../sampling/generated_level/generated_level_1726761999618_26.txt,3.3891415038004733,1.0,-100,0.0,72.561325,-10,0.0
no pipes many enemies little blocks high elevation,1400,2.5,1726761999618,../sampling/generated_level/generated_level_1726761999618_27.txt,0.9851189849887192,0.3,1,1.0,50.793205,10,1.0
no pipes many enemies some blocks low elevation,1400,2.5,1726761999618,../sampling/generated_level/generated_level_1726761999618_28.txt,1.1245673004623877,0.34,1,1.0,62.800465,-10,0.0
no pipes many enemies some blocks high elevation,1400,2.5,1726761999618,../sampling/generated_level/generated_level_1726761999618_29.txt,1.6551519065081384,0.5,1,1.0,75.8902,-10,0.0
no pipes many enemies many blocks low elevation,1400,2.5,1726761999619,../sampling/generated_level/generated_level_1726761999619_30.txt,0.4560439203235507,0.14,-100,0.0,0.0,10,1.0
no pipes many enemies many blocks high elevation,1400,2.5,1726761999619,../sampling/generated_level/generated_level_1726761999619_31.txt,0.3662549195790853,0.11,1,1.0,68.25926500000001,10,1.0
little pipes no enemies little blocks low elevation,1400,2.5,1726762066682,../sampling/generated_level/generated_level_1726762066682_32.txt,2.0157796233353036,0.6,1,1.0,93.103705,10,1.0
little pipes no enemies little blocks high elevation,1400,2.5,1726762066682,../sampling/generated_level/generated_level_1726762066682_33.txt,2.0475557155526602,0.61,1,1.0,110.43605000000001,10,1.0
little pipes no enemies some blocks low elevation,1400,2.5,1726762066683,../sampling/generated_level/generated_level_1726762066683_34.txt,3.6977661218813984,1.0,1,1.0,75.50887499999999,10,1.0
little pipes no enemies some blocks high elevation,1400,2.5,1726762066683,../sampling/generated_level/generated_level_1726762066683_35.txt,2.0499775327476306,0.61,-100,0.0,70.872655,10,1.0
little pipes no enemies many blocks low elevation,1400,2.5,1726762066683,../sampling/generated_level/generated_level_1726762066683_36.txt,0.1157211082619296,0.03,-100,0.0,84.12754000000001,10,1.0
little pipes no enemies many blocks high elevation,1400,2.5,1726762066683,../sampling/generated_level/generated_level_1726762066683_37.txt,1.7040352011326256,0.51,1,1.0,62.624573,10,1.0
little pipes little enemies little blocks low elevation,1400,2.5,1726762066683,../sampling/generated_level/generated_level_1726762066683_38.txt,3.7579395413125387,1.0,1,1.0,102.35280999999999,10,1.0
little pipes little enemies little blocks high elevation,1400,2.5,1726762066683,../sampling/generated_level/generated_level_1726762066683_39.txt,3.1061362450971695,1.0,1,1.0,154.73505999999998,-20,0.0
little pipes little enemies some blocks low elevation,1400,2.5,1726762133726,../sampling/generated_level/generated_level_1726762133726_40.txt,2.8652539534177763,0.86,1,1.0,116.859475,10,1.0
little pipes little enemies some blocks high elevation,1400,2.5,1726762133726,../sampling/generated_level/generated_level_1726762133726_41.txt,1.36006485036732,0.41,1,1.0,86.9531,10,1.0
little pipes little enemies many blocks low elevation,1400,2.5,1726762133726,../sampling/generated_level/generated_level_1726762133726_42.txt,2.682316358643176,0.8,1,1.0,65.79951,10,1.0
little pipes little enemies many blocks high elevation,1400,2.5,1726762133726,../sampling/generated_level/generated_level_1726762133726_43.txt,1.5123190789879615,0.45,-100,0.0,29.994855,-20,0.0
little pipes some enemies little blocks low elevation,1400,2.5,1726762133726,../sampling/generated_level/generated_level_1726762133726_44.txt,3.6662330614584135,1.0,-100,0.0,40.74095,-90,0.0
little pipes some enemies little blocks high elevation,1400,2.5,1726762133726,../sampling/generated_level/generated_level_1726762133726_45.txt,3.4508802176451647,1.0,1,1.0,98.89363,10,1.0
little pipes some enemies some blocks low elevation,1400,2.5,1726762133726,../sampling/generated_level/generated_level_1726762133726_46.txt,3.1585384155922074,1.0,1,1.0,97.402245,10,1.0
little pipes some enemies some blocks high elevation,1400,2.5,1726762133726,../sampling/generated_level/generated_level_1726762133726_47.txt,4.122162614893268,1.0,1,1.0,98.32699,10,1.0
little pipes some enemies many blocks low elevation,1400,2.5,1726762200810,../sampling/generated_level/generated_level_1726762200810_48.txt,2.896029844880389,0.87,1,1.0,88.484275,-10,0.0
little pipes some enemies many blocks high elevation,1400,2.5,1726762200810,../sampling/generated_level/generated_level_1726762200810_49.txt,1.0705570382056362,0.32,1,1.0,55.399089999999994,-10,0.0
little pipes many enemies little blocks low elevation,1400,2.5,1726762200810,../sampling/generated_level/generated_level_1726762200810_50.txt,3.5671051768381896,1.0,-100,0.0,97.813615,-40,0.0
little pipes many enemies little blocks high elevation,1400,2.5,1726762200810,../sampling/generated_level/generated_level_1726762200810_51.txt,0.9162352542668537,0.27,1,1.0,125.36284,10,1.0
little pipes many enemies some blocks low elevation,1400,2.5,1726762200810,../sampling/generated_level/generated_level_1726762200810_52.txt,0.956715078197353,0.29,-100,0.0,85.580065,-10,0.0
little pipes many enemies some blocks high elevation,1400,2.5,1726762200810,../sampling/generated_level/generated_level_1726762200810_53.txt,-0.14492427478916947,0,1,1.0,67.115565,10,1.0
little pipes many enemies many blocks low elevation,1400,2.5,1726762200810,../sampling/generated_level/generated_level_1726762200810_54.txt,0.6210696392248971,0.19,1,1.0,75.81415499999999,-10,0.0
little pipes many enemies many blocks high elevation,1400,2.5,1726762200810,../sampling/generated_level/generated_level_1726762200810_55.txt,2.2240579471680393,0.67,1,1.0,183.053225,-40,0.0
some pipes no enemies little blocks low elevation,1400,2.5,1726762267860,../sampling/generated_level/generated_level_1726762267860_56.txt,2.4782577328362017,0.74,1,1.0,72.74799,-20,0.0
some pipes no enemies little blocks high elevation,1400,2.5,1726762267860,../sampling/generated_level/generated_level_1726762267860_57.txt,2.690015589458287,0.81,-100,0.0,97.56644999999999,-10,0.0
some pipes no enemies some blocks low elevation,1400,2.5,1726762267860,../sampling/generated_level/generated_level_1726762267860_58.txt,1.8493373462818303,0.55,1,1.0,87.810425,10,1.0
some pipes no enemies some blocks high elevation,1400,2.5,1726762267860,../sampling/generated_level/generated_level_1726762267860_59.txt,3.3748213761571337,1.0,1,1.0,109.92109,10,1.0
some pipes no enemies many blocks low elevation,1400,2.5,1726762267860,../sampling/generated_level/generated_level_1726762267860_60.txt,1.5,0.45,1,1.0,86.685755,10,1.0
some pipes no enemies many blocks high elevation,1400,2.5,1726762267860,../sampling/generated_level/generated_level_1726762267860_61.txt,0.2913312048218927,0.09,-100,0.0,94.286565,-10,0.0
some pipes little enemies little blocks low elevation,1400,2.5,1726762267860,../sampling/generated_level/generated_level_1726762267860_62.txt,3.963028063309588,1.0,1,1.0,73.57806500000001,10,1.0
some pipes little enemies little blocks high elevation,1400,2.5,1726762267860,../sampling/generated_level/generated_level_1726762267860_63.txt,3.0595476402428363,1.0,1,1.0,74.999205,10,1.0
some pipes little enemies some blocks low elevation,1400,2.5,1726762334900,../sampling/generated_level/generated_level_1726762334900_64.txt,3.267793654262321,1.0,1,1.0,121.70759,10,1.0
some pipes little enemies some blocks high elevation,1400,2.5,1726762334900,../sampling/generated_level/generated_level_1726762334900_65.txt,1.878678079271159,0.56,-100,0.0,65.88465,10,1.0
some pipes little enemies many blocks low elevation,1400,2.5,1726762334900,../sampling/generated_level/generated_level_1726762334900_66.txt,3.073234285778999,1.0,1,1.0,93.39048000000001,-10,0.0
some pipes little enemies many blocks high elevation,1400,2.5,1726762334900,../sampling/generated_level/generated_level_1726762334900_67.txt,2.6321908302665387,0.79,1,1.0,85.57465,-20,0.0
some pipes some enemies little blocks low elevation,1400,2.5,1726762334900,../sampling/generated_level/generated_level_1726762334900_68.txt,3.027999783676802,1.0,1,1.0,187.87918499999998,10,1.0
some pipes some enemies little blocks high elevation,1400,2.5,1726762334900,../sampling/generated_level/generated_level_1726762334900_69.txt,3.4572815732993503,1.0,1,1.0,96.1426,10,1.0
