prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,700,2.7,1727205931353,../sampling/generated_level/generated_level_1727205931353_0.txt,-1.0,0,1,1.0,74.99030499999999,10,1.0
no pipes no enemies little blocks high elevation,700,2.7,1727205931353,../sampling/generated_level/generated_level_1727205931353_1.txt,3.0942560211970513,1.0,1,1.0,84.924315,10,1.0
no pipes no enemies little blocks low elevation,700,2.7,1727205931353,../sampling/generated_level/generated_level_1727205931353_2.txt,2.2960973618447365,0.69,1,1.0,74.59030499999999,10,1.0
no pipes no enemies little blocks high elevation,700,2.7,1727205931353,../sampling/generated_level/generated_level_1727205931353_3.txt,1.1699250014423126,0.35,1,1.0,61.344325,10,1.0
no pipes no enemies some blocks low elevation,700,2.7,1727205931354,../sampling/generated_level/generated_level_1727205931354_4.txt,0.217487362276239,0.07,1,1.0,72.45730999999999,10,1.0
no pipes no enemies some blocks high elevation,700,2.7,1727205931354,../sampling/generated_level/generated_level_1727205931354_5.txt,2.1062270328494197,0.63,1,1.0,61.035138,-10,0.0
no pipes no enemies many blocks low elevation,700,2.7,1727205931354,../sampling/generated_level/generated_level_1727205931354_6.txt,-0.47596814455246206,0,1,1.0,47.436280000000004,10,1.0
no pipes no enemies many blocks high elevation,700,2.7,1727205931354,../sampling/generated_level/generated_level_1727205931354_7.txt,1.0400145896029316,0.31,-100,0.0,16.868803500000002,10,1.0
no pipes little enemies little blocks low elevation,700,2.7,1727205953077,../sampling/generated_level/generated_level_1727205953077_8.txt,2.5724753410438805,0.77,-100,0.0,0.0,-10,0.0
no pipes little enemies little blocks high elevation,700,2.7,1727205953077,../sampling/generated_level/generated_level_1727205953077_9.txt,0.6603891846198442,0.2,-100,0.0,75.054135,-30,0.0
no pipes little enemies little blocks low elevation,700,2.7,1727205953077,../sampling/generated_level/generated_level_1727205953077_10.txt,1.2464934318195802,0.37,1,1.0,39.32709500000001,10,1.0
no pipes little enemies little blocks high elevation,700,2.7,1727205953077,../sampling/generated_level/generated_level_1727205953077_11.txt,2.870111964470926,0.86,-100,0.0,70.88266499999999,10,1.0
no pipes little enemies some blocks low elevation,700,2.7,1727205953078,../sampling/generated_level/generated_level_1727205953078_12.txt,2.841139573819496,0.85,1,1.0,64.262982,-10,0.0
no pipes little enemies some blocks high elevation,700,2.7,1727205953078,../sampling/generated_level/generated_level_1727205953078_13.txt,1.5950846042980338,0.48,1,1.0,75.06086499999999,10,1.0
no pipes little enemies many blocks low elevation,700,2.7,1727205953078,../sampling/generated_level/generated_level_1727205953078_14.txt,1.8795299950021749,0.56,-100,0.0,0.2,10,1.0
no pipes little enemies many blocks high elevation,700,2.7,1727205953078,../sampling/generated_level/generated_level_1727205953078_15.txt,1.589899508520514,0.48,1,1.0,69.392265,10,1.0
no pipes some enemies little blocks low elevation,700,2.7,1727205974927,../sampling/generated_level/generated_level_1727205974927_16.txt,3.4784951146500234,1.0,1,1.0,89.38586500000001,10,1.0
no pipes some enemies little blocks high elevation,700,2.7,1727205974927,../sampling/generated_level/generated_level_1727205974927_17.txt,3.125584186026749,1.0,-100,0.0,0.0,-10,0.0
no pipes some enemies little blocks low elevation,700,2.7,1727205974927,../sampling/generated_level/generated_level_1727205974927_18.txt,2.8435158859851324,0.85,-100,0.0,73.315575,10,1.0
no pipes some enemies little blocks high elevation,700,2.7,1727205974927,../sampling/generated_level/generated_level_1727205974927_19.txt,2.670938996222319,0.8,-100,0.0,0.0,10,1.0
