prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,700,2.5,1725652201228,../sampling/generated_level/generated_level_1725652201228_0.txt,0.3246877523751506,0.1,1,1.0,0.0,10,1.0
no pipes no enemies little blocks high elevation,700,2.5,1725652201228,../sampling/generated_level/generated_level_1725652201228_1.txt,2.7732862886857665,0.83,1,1.0,63.853246999999996,10,1.0
no pipes no enemies little blocks low elevation,700,2.5,1725652201229,../sampling/generated_level/generated_level_1725652201229_2.txt,2.0343517452131814,0.61,1,1.0,94.888565,10,1.0
no pipes no enemies little blocks high elevation,700,2.5,1725652201229,../sampling/generated_level/generated_level_1725652201229_3.txt,1.5,0.45,-100,0.0,67.84907,10,1.0
no pipes no enemies some blocks low elevation,700,2.5,1725652201229,../sampling/generated_level/generated_level_1725652201229_4.txt,2.0475557155526602,0.61,1,1.0,72.77342,10,1.0
no pipes no enemies some blocks high elevation,700,2.5,1725652201229,../sampling/generated_level/generated_level_1725652201229_5.txt,2.1954733183334962,0.66,-100,0.0,79.548275,-30,0.0
no pipes no enemies many blocks low elevation,700,2.5,1725652201229,../sampling/generated_level/generated_level_1725652201229_6.txt,2.1861384155437795,0.66,1,1.0,67.536985,-20,0.0
no pipes no enemies many blocks high elevation,700,2.5,1725652201229,../sampling/generated_level/generated_level_1725652201229_7.txt,2.302146007221011,0.69,1,1.0,95.33142,10,1.0
no pipes little enemies little blocks low elevation,700,2.5,1725652222917,../sampling/generated_level/generated_level_1725652222917_8.txt,2.5200856412829764,0.76,1,1.0,74.85634,10,1.0
no pipes little enemies little blocks high elevation,700,2.5,1725652222918,../sampling/generated_level/generated_level_1725652222918_9.txt,-1.0,0,1,1.0,60.69981,10,1.0
no pipes little enemies little blocks low elevation,700,2.5,1725652222918,../sampling/generated_level/generated_level_1725652222918_10.txt,1.9442412603585755,0.58,1,1.0,75.65309500000001,10,1.0
no pipes little enemies little blocks high elevation,700,2.5,1725652222918,../sampling/generated_level/generated_level_1725652222918_11.txt,4.0024716322398115,1.0,1,1.0,63.778484999999996,-10,0.0
no pipes little enemies some blocks low elevation,700,2.5,1725652222918,../sampling/generated_level/generated_level_1725652222918_12.txt,2.3843771950629575,0.72,1,1.0,71.83236,10,1.0
no pipes little enemies some blocks high elevation,700,2.5,1725652222918,../sampling/generated_level/generated_level_1725652222918_13.txt,1.1172317599483819,0.34,-100,0.0,0.0,-30,0.0
no pipes little enemies many blocks low elevation,700,2.5,1725652222918,../sampling/generated_level/generated_level_1725652222918_14.txt,1.1699250014423126,0.35,1,1.0,63.019459999999995,10,1.0
no pipes little enemies many blocks high elevation,700,2.5,1725652222918,../sampling/generated_level/generated_level_1725652222918_15.txt,3.7755729123066297,1.0,1,1.0,74.89814999999999,-20,0.0
no pipes some enemies little blocks low elevation,700,2.5,1725652244663,../sampling/generated_level/generated_level_1725652244663_16.txt,3.185843675074624,1.0,1,1.0,58.04435,10,1.0
no pipes some enemies little blocks high elevation,700,2.5,1725652244663,../sampling/generated_level/generated_level_1725652244663_17.txt,1.1699250014423126,0.35,1,1.0,161.17646,10,1.0
no pipes some enemies little blocks low elevation,700,2.5,1725652244663,../sampling/generated_level/generated_level_1725652244663_18.txt,1.3709505944546687,0.41,1,1.0,70.9236,10,1.0
no pipes some enemies little blocks high elevation,700,2.5,1725652244663,../sampling/generated_level/generated_level_1725652244663_19.txt,-0.18872187554086717,0,-100,0.0,97.34404,-20,0.0
no pipes some enemies some blocks low elevation,700,2.5,1725652244663,../sampling/generated_level/generated_level_1725652244663_20.txt,3.2671567964843273,1.0,1,1.0,128.64415,10,1.0
no pipes some enemies some blocks high elevation,700,2.5,1725652244663,../sampling/generated_level/generated_level_1725652244663_21.txt,2.553074073436499,0.77,1,1.0,102.01100999999998,-90,0.0
no pipes some enemies many blocks low elevation,700,2.5,1725652244663,../sampling/generated_level/generated_level_1725652244663_22.txt,2.455918999847043,0.74,-100,0.0,60.499810000000004,10,1.0
no pipes some enemies many blocks high elevation,700,2.5,1725652244664,../sampling/generated_level/generated_level_1725652244664_23.txt,3.2602407262498394,1.0,1,1.0,78.29818500000002,10,1.0
no pipes many enemies little blocks low elevation,700,2.5,1725652266457,../sampling/generated_level/generated_level_1725652266457_24.txt,0.34857092260589506,0.1,1,1.0,63.210851999999996,10,1.0
no pipes many enemies little blocks high elevation,700,2.5,1725652266457,../sampling/generated_level/generated_level_1725652266457_25.txt,0.3019323824792668,0.09,1,1.0,63.161229999999996,10,1.0
no pipes many enemies little blocks low elevation,700,2.5,1725652266457,../sampling/generated_level/generated_level_1725652266457_26.txt,1.1477426785812737,0.34,1,1.0,63.2059725,10,1.0
no pipes many enemies little blocks high elevation,700,2.5,1725652266457,../sampling/generated_level/generated_level_1725652266457_27.txt,2.220886264559494,0.67,1,1.0,59.58614,10,1.0
no pipes many enemies some blocks low elevation,700,2.5,1725652266457,../sampling/generated_level/generated_level_1725652266457_28.txt,1.841408238618948,0.55,1,1.0,51.61145,10,1.0
no pipes many enemies some blocks high elevation,700,2.5,1725652266457,../sampling/generated_level/generated_level_1725652266457_29.txt,3.5708709292995744,1.0,-100,0.0,0.0,-30,0.0
no pipes many enemies many blocks low elevation,700,2.5,1725652266457,../sampling/generated_level/generated_level_1725652266457_30.txt,0.0033290904226440654,0.0,1,1.0,51.680505000000004,10,1.0
no pipes many enemies many blocks high elevation,700,2.5,1725652266457,../sampling/generated_level/generated_level_1725652266457_31.txt,0.4223333238984046,0.13,1,1.0,41.29752800000001,-10,0.0
little pipes no enemies little blocks low elevation,700,2.5,1725652288308,../sampling/generated_level/generated_level_1725652288308_32.txt,2.3398500028846243,0.7,-100,0.0,0.0,10,1.0
little pipes no enemies little blocks high elevation,700,2.5,1725652288308,../sampling/generated_level/generated_level_1725652288308_33.txt,2.8145364592347786,0.84,-100,0.0,57.362015,-20,0.0
little pipes no enemies some blocks low elevation,700,2.5,1725652288308,../sampling/generated_level/generated_level_1725652288308_34.txt,2.8042149817419797,0.84,1,1.0,86.01993,10,1.0
