prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,700,2.0,1725668177875,../sampling/generated_level/generated_level_1725668177875_0.txt,2.1477326747512286,0.64,1,1.0,69.105825,-30,0.0
no pipes no enemies little blocks high elevation,700,2.0,1725668177875,../sampling/generated_level/generated_level_1725668177875_1.txt,0,0.0,1,1.0,74.29814999999999,10,1.0
no pipes no enemies little blocks low elevation,700,2.0,1725668177875,../sampling/generated_level/generated_level_1725668177875_2.txt,3.035639399246358,1.0,1,1.0,74.44529499999999,10,1.0
no pipes no enemies little blocks high elevation,700,2.0,1725668177875,../sampling/generated_level/generated_level_1725668177875_3.txt,-0.2780719051126377,0,1,1.0,63.540980000000005,10,1.0
no pipes no enemies some blocks low elevation,700,2.0,1725668177875,../sampling/generated_level/generated_level_1725668177875_4.txt,1.8078513281554769,0.54,1,1.0,53.547205,10,1.0
no pipes no enemies some blocks high elevation,700,2.0,1725668177875,../sampling/generated_level/generated_level_1725668177875_5.txt,1.401328116556876,0.42,1,1.0,72.39365,-40,0.0
no pipes no enemies many blocks low elevation,700,2.0,1725668177875,../sampling/generated_level/generated_level_1725668177875_6.txt,1.0992668176454718,0.33,-100,0.0,32.6354175,-20,0.0
no pipes no enemies many blocks high elevation,700,2.0,1725668177876,../sampling/generated_level/generated_level_1725668177876_7.txt,0.6438561897747246,0.19,1,1.0,103.689535,10,1.0
no pipes little enemies little blocks low elevation,700,2.0,1725668199658,../sampling/generated_level/generated_level_1725668199658_8.txt,2.102064831613369,0.63,1,1.0,63.588435000000004,10,1.0
no pipes little enemies little blocks high elevation,700,2.0,1725668199658,../sampling/generated_level/generated_level_1725668199658_9.txt,0.8241850797244533,0.25,1,1.0,40.494099999999996,-20,0.0
no pipes little enemies little blocks low elevation,700,2.0,1725668199658,../sampling/generated_level/generated_level_1725668199658_10.txt,1.4023390949273784,0.42,1,1.0,151.38291999999998,10,1.0
no pipes little enemies little blocks high elevation,700,2.0,1725668199658,../sampling/generated_level/generated_level_1725668199658_11.txt,-1.0,0,-100,0.0,0.2,10,1.0
no pipes little enemies some blocks low elevation,700,2.0,1725668199658,../sampling/generated_level/generated_level_1725668199658_12.txt,3.7312274612313443,1.0,1,1.0,78.18174,-10,0.0
no pipes little enemies some blocks high elevation,700,2.0,1725668199658,../sampling/generated_level/generated_level_1725668199658_13.txt,1.1108189546605667,0.33,1,1.0,102.806325,-10,0.0
